list-id-m,12,10,4,360,1240320,3445,388
list-id-m,12,20,4,720,1098053,1525,51307
list-id-m,12,40,4,1440,763634,530,240168
list-id-m,12,80,4,2880,2012622,698,845508
list-id-m,16,10,4,480,1049031,2185,2073
list-id-m,16,20,4,960,1089497,1134,23699
list-id-m,16,40,4,1920,1314127,684,153617
list-id-m,16,80,4,3840,2670186,695,1115383
list-id-s,1,1000,1,3000,63185985,21061
list-id-s,1,1000,2,3000,31864640,10621
list-id-s,1,1000,4,3000,16159780,5386
list-id-s,1,1000,8,3000,8428831,2809
list-id-s,1,1000,16,3000,4517217,1505
list-id-s,4,1000,1,12000,474649180,39554
list-id-s,4,1000,2,12000,227483893,18956
list-id-s,4,1000,4,12000,99219507,8268
list-id-s,4,1000,8,12000,60241419,5020
list-id-s,4,1000,16,12000,26731757,2227
list-id-s,8,1000,2,24000,598244268,24926
list-id-s,8,1000,4,24000,297073602,12378
list-id-s,8,1000,8,24000,151743883,6322
list-id-s,8,1000,16,24000,85001111,3541
list-id-s,12,1000,4,36000,539359241,14982
list-id-s,12,1000,8,36000,286933674,7970
list-id-s,12,1000,16,36000,142611579,3961
list-id-s,16,1000,8,48000,524268983,10922
list-id-s,16,1000,16,48000,332206640,6920
list-id-m,1,1000,1,3000,60700593,20233,929
list-id-m,1,1000,2,3000,30785304,10261,939
list-id-m,1,1000,4,3000,15871864,5290,879
list-id-m,1,1000,8,3000,8290369,2763,930
list-id-m,1,1000,16,3000,4461202,1487,901
